mention_id,concept_expression,explain_text,expectation
128418_1_1_1_2_0_14,Đối_sánh,hoạt_động đối_chiếu và so_sánh một cơ_sở giáo_dục_đại_học hoặc một chương_trình đào_tạo với bộ tiêu_chuẩn đánh_giá_chất_lượng giáo_dục hoặc với cơ_sở giáo_dục_đại_học / chương_trình đào_tạo khác được lựa_chọn .,0.902
93556_1_1_1_3_0_51,Nguyên_nhân chính của thiếu máu,do_khẩu_phần ăn còn thiếu các thực_phẩm giàu chất sắt ( động_vật ) .,0.89
23849_1_1_1_2_0_34,Dự_án đầu_tư sử_dụng 30 % vốn nhà_nước trở lên,dự_án đầu_tư có thành_phần vốn nhà_nước tham_gia chiếm từ 30 % tổng mức đầu_tư của dự_án trở lên và được xác_định tại quyết_định phê_duyệt dự_án .,0.856
60033_1_1_1_2_0_3,Đại_lý Internet có thu cước,"tổ_chức , cá_nhân tại Việt_Nam nhân_danh doanh_nghiệp cung_cấp dịch_vụ Internet để cung_cấp dịch_vụ truy_nhập Internet , dịch_vụ ứng_dụng Internet trong viễn_thông cho người sử_dụng thông_qua hợp_đồng_đại_lý và hưởng thù_lao .",0.887
98107_1_1_1_2_0_15,Bản_sao y bản_chính,"bản_sao đầy_đủ , chính_xác nội_dung của văn_bản và được trình_bày theo thể_thức quy_định .",0.888
82517_1_1_1_2_0_5,Đơn_vị cung_cấp dịch_vụ Internet,"tổ_chức , cá_nhân có tham_gia trong hoạt_động cung_cấp dịch_vụ Internet trên địa_bàn tỉnh , bao_gồm : Doanh_nghiệp cung_cấp dịch_vụ kết_nối Internet ( IXP ) , doanh_nghiệp cung_cấp dịch_vụ truy_nhập Internet ( ISP ) , doanh_nghiệp cung_cấp dịch_vụ ứng_dụng Internet ( OSP ) , đơn_vị cung_cấp dịch_vụ thông_tin Internet ( ICP ) , đơn_vị cung_cấp dịch_vụ truy_nhập Internet dùng riêng ( ISP dùng riêng ) , đại_lý cung_cấp dịch_vụ truy_nhập Internet , đại_lý cung_cấp dịch_vụ ứng_dụng Internet ( sau đây gọi chung là đại_lý internet ) .",0.883
27621_1_1_1_2_0_32,Sự_kiện bất_khả_kháng,sự_kiện xảy ra một_cách khách_quan không_thể lường trước được và không_thể khắc_phục được mặc_dù đã áp_dụng mọi biện_pháp cần_thiết và khả_năng cho phép .,0.888
86534_1_1_1_3_0_8,Bên giao xăng_dầu,"thương_nhân kinh_doanh xuất_khẩu , nhập_khẩu xăng_dầu , thương_nhân sản_xuất xăng_dầu , thương_nhân phân_phối xăng_dầu , thương_nhân làm tổng đại_lý kinh_doanh_xăng_dầu thực_hiện việc xuất giao xăng_dầu theo hợp_đồng mua_bán xăng_dầu đã ký .",0.873
105823_1_1_1_3_0_5,Phục_hồi chức_năng lao_động,"quá_trình áp_dụng biện_pháp_y_học , kỹ_thuật phục_hồi chức_năng , biện_pháp giáo_dục và xã_hội_học để phục_hồi chức_năng lao_động .",0.867
19414_1_1_1_3_0_50,Chủ đầu_tư xây_dựng côngtrình,người sở_hữu vốn hoặc là ngườiđược giao quản_lý và sử_dụng vốn đểđầu tư xây_dựng công_trình .,0.853
93805_1_1_1_2_0_4,Cây_xanh sử_dụng công_cộng,"tất_cả các loại cây_xanh được trồng trên đường_phố và ở khu_vực thuộc sở_hữu công_cộng ( công_viên , vườn thú , vườn hoa , vườn dạo , thảm cỏ tại dải_phân_cách , các đài tưởng_niệm , quảng_trường , . . . ) ;",0.889
71324_1_1_1_4_0_74,Phí qua đò,"khoản thu của chủ đò hoặc bến khách đối_với người thuê đò để chở khách , hàng_hoá ngang qua sông , kênh , hồ .",0.854
71440_1_3_1_1_0_3,Cổng thông_tin_điện_tử,"nơi các cơ_quan quản_lý giáo_dục và cơ sở_giáo_dục công_bố công_khai , đầy_đủ , chính_xác và kịp_thời các thông_tin của mình qua môi_trường mạng Internet .",0.857
126281_1_1_1_1_0_14,Sự_cố hàng_hải,"sự_việc xảy ra liên_quan trực_tiếp đến hoạt_động của tàu_biển mà không phải là tai_nạn hàng_hải được quy_định tại khoản 1 Điều này gây nguy_hiểm , hoặc nếu không được khắc_phục , sẽ gây nguy_hiểm cho an_toàn của tàu , con_người hoặc môi_trường . ”",0.891
54536_1_1_1_3_0_6,Cổng_thông_tin_điện_tử,"điểm truy_cập duy_nhất của các cơ_quan Nhà_nước trên môi_trường mạng , liên_kết , tích_hợp các kênh thông_tin , các dịch_vụ và các ứng_dụng mà qua đó người dùng có_thể khai_thác , sử_dụng và cá_nhân hóa_việc hiển_thị thông_tin .",0.864
50540_1_1_1_2_0_19,Khu liên_hợp xử_lý chất_thải_rắn,"tổ_hợp của một hoặc nhiều hạng_mục công_trình xử_lý , tái_chế , tái sử_dụng chất_thải_rắn và bãi chôn lấp chất_thải_rắn .",0.893
53202_1_1_1_4_0_14,Cáp thuê_bao,"đoạn cáp thông_tin từ tủ / hộp cáp hoặc bộ chia tín_hiệu đến trực_tiếp thiết_bị đầu_cuối sử_dụng dịch_vụ thoại , internet , truyền_hình .",0.902
125381_1_1_1_2_0_11,Kiểm_tra doanh_nghiệp,"việc cơ_quan nhà_nước có thẩm_quyền xem_xét , đánh_giá việc thực_hiện pháp_luật , chính_sách , quyền_hạn , nghĩa_vụ của doanh_nghiệp và cá_nhân , tổ_chức có liên_quan .",0.887
122558_1_1_1_3_0_25,Giấy_phép rời cảng,văn_bản do Cảng_vụ hàng_hải hoặc cơ_quan có thẩm_quyền nơi tàu_thuyền rời cảng cuối_cùng cấp hoặc xác_nhận .,0.871
25107_1_1_1_4_0_10,Bố_trí ngoài tỉnh,hình_thức bố_trí các hộ gia_đình từ tỉnh này sang tỉnh khác .,0.895
128348_1_1_1_2_0_4,Môi_trường giáo_dục,"tất_cả các điều_kiện về vật_chất và tinh_thần có ảnh_hưởng đến hoạt_động giáo_dục , học_tập , rèn_luyện và phát_triển của người học .",0.883
2071_1_1_1_1_0_8,Ngân_hàng_đầu_tư và phát_triển,"ngân_hàng quốc_doanh , nhận vốn đầu_tư phát_triển từ ngân_sách Nhà_nước để đầu_tư cho các dự_án phát_triển kinh_tế - kỹ_thuật của Nhà_nước và huy_động vốn trung_hạn , dài_hạn trong nước , ngoài nước để cho vay trung_hạn , dài_hạn là chủ_yếu .",0.893
27566_1_1_1_3_0_15,Bản_đồ đường_nét ở dạng số,tài_liệu dùng để ghi kết_quả điều vẽ được sao từ bản_đồ_dùng làm gốc hiện chỉnh .,0.874
127637_1_1_1_3_0_34,Cửa_hàng tiện_lợi,"cơ_sở bán_lẻ các mặt_hàng tiêu_dùng nhanh , bao_gồm : Thực_phẩm , đồ uống , dược_phẩm không kê đơn , thực_phẩm chức_năng và các sản_phẩm bổ_dưỡng sức_khỏe , hóa mỹ_phẩm và các sản_phẩm khác phục_vụ tiêu_dùng hàng ngày .",0.874
13722_1_1_1_1_0_570,Thanh_toán qua ngân_hàng,việc chuyển tiền từ tài_khoản của bên nhập_khẩu sang tài_khoản mang tên bên xuất_khẩu mở tại ngân_hàng theo các hình_thức thanh_toán phù_hợp với thỏa_thuận trong hợp_đồng và quy_định của ngân_hàng .,0.871
27779_1_5_1_1_0_2,Bộ Xây_dựng,cơ_quan quản_lý nhà_nước về xây_dựng có trách_nhiệm :,0.856
124286_1_1_1_2_0_9,Bí_mật nhà_nước thuộc độ Tuyệt_mật,"những tin về vụ , việc , tài_liệu , vật , địa_điểm , thời_gian , lời_nói ( sau đây gọi tắt là tài_liệu , vật_mang bí_mật_nhà_nước ) có nội_dung đặc_biệt quan_trọng thuộc danh_mục bí_mật_nhà_nước do Thủ_tướng Chính_phủ quyết_định ban_hành , chỉ phổ_biến đến người có trách_nhiệm và nếu bị tiết_lộ sẽ gây hậu_quả đặc_biệt nghiêm_trọng cho lợi_ích của Nhà_nước Cộng_hòa xã_hội chủ_nghĩa Việt_Nam .",0.866
17886_1_3_1_2_0_5,Hội_viên danh_dự,những người có nhiều hoạt_động và công_lao đóng_góp cho nghệ_thuật Nhiếp_ảnh Việt_Nam và cho Hội .,0.884
21382_1_1_1_1_0_756,Quá_trình tích_lũy tư_bản,quá_trình tích_tụ và tập_trung tư_bản ngày_càng tăng :,0.876
4768_1_1_1_3_0_20,Người mua,"tập_thể lao_động , cá_nhân , doanh_nghiệp đủ điều_kiện và năng_lực tham_gia đấu_giá mua doanh_nghiệp .",0.903
16191_1_1_1_3_0_8,Các khoản nợ,"tiền cước vận_chuyển , tiền bồi_thường do lưu tàu và các chi_phí hợp_lý khác liên_quan đến việc vận_chuyển hàng_hóa đó mà người thuê vận_chuyển hoặc người nhận hàng chưa thanh_toán hết hoặc không đưa ra bảo_đảm cần_thiết để thanh_toán .",0.892
82125_1_1_1_1_0_40,Đất vùng nông_thôn,đất thuộc địa_giới hành_chính của xã nằm ngoài các vị_trí kể trên .,0.858
101107_1_1_1_3_0_10,Thanh_tra doanh_nghiệp,"việc xem_xét , đánh_giá , xử_lý theo trình_tự , thủ_tục được quy_định tại Luật Thanh_tra của cơ_quan Nhà_nước có thẩm_quyền đối_với việc thực_hiện pháp_luật , chính_sách , quyền_hạn , nghĩa_vụ của doanh_nghiệp và cá_nhân , tổ_chức có liên_quan .",0.879
15310_1_1_1_2_0_14,Trung_tâm thanh_toán quốc_gia,"Trung_tâm đặt tại Ngân_hàng Trung_ương ; thực_hiện các chức_năng của hệ_thống TTLNH : chức_năng tiểu hệ_thống giá_trị cao , chức_năng chuyển mạch tiểu hệ_thống giá_trị thấp , xử_lý_tài_khoản tiền gửi thanh_toán , giao_diện với hệ_thống CTĐT và các chức_năng kiểm_tra hệ_thống ; bao_gồm phần_cứng , phần_mềm và truyền_thông .",0.857
37428_1_2_1_4_0_2,"Hành_vi vi_phạm quy_định tại Khoản 2 , Điểm a Khoản 4",hành_vi vi_phạm quy_định tại Điều 17 Thông_tư liên_tịch số 13/2014 / TTLT-BKHCN-BYT ngày 09/6/2014 của Bộ Khoa_học và Công_nghệ và Bộ Y_tế quy_định về bảo_đảm an_toàn bức_xạ trong y_tế .,0.855
23676_1_1_1_4_0_9,Số_liệu để ghi vào chỉ_tiêu “ Giao_dịch mua_bán lại trái_phiếu Chính_phủ,số_dư Có của Tài_khoản 171 – “ Giao_dịch mua_bán lại trái_phiếu Chính_phủ ” trên Sổ kế_toán Tài_khoản 171 .,0.851
26011_1_1_1_2_0_4,Trái_phiếu Chính_phủ,"loại trái_phiếu do Bộ Tài_chính phát_hành nhằm huy_động vốn cho ngân_sách nhà_nước hoặc huy_động vốn cho chương_trình , dự_án đầu_tư cụ_thể thuộc phạm_vi đầu_tư của nhà_nước .",0.905
124164_1_1_1_2_0_47,Phông lưu_trữ,"toàn_bộ tài_liệu lưu_trữ được hình_thành trong quá_trình hoạt_động của cơ_quan , tổ_chức hoặc của cá_nhân .",0.869
101333_1_1_1_2_0_30,Nhiệm_vụ khoa_học_và_công_nghệ cấp cơ_sở,"nhiệm_vụ khoa_học_và_công_nghệ nhằm giải_quyết các vấn_đề khoa_học_và_công_nghệ của cơ_sở gồm các đề_tài , dự_án có quy_mô nhỏ ở các ngành , huyện , thị , thành ; có mức sử_dụng kinh_phí ngân_sách dưới 150 triệu đồng đối_với đề_tài khoa_học_và_công_nghệ ; dưới 300 triệu đồng đối_với dự_án khoa_học_và_công_nghệ .",0.898
37698_1_1_1_3_0_18,Sửa_chữa định_kỳ công_trình đường_sắt,"sửa_chữa hư_hỏng hoặc thay_thế bộ_phận công_trình , thiết_bị công_trình và thiết_bị công_nghệ bị hư_hỏng được thực_hiện định_kỳ theo quy_định của quy_trình bảo_trì_công_trình đường_sắt ;",0.87
124962_1_1_1_3_0_20,Sản_xuất phân_bón,"việc thực_hiện một phần hoặc toàn_bộ hoạt_động tạo ra sản_phẩm phân_bón thông_qua phản_ứng_hóa học , sinh_hóa , sinh_học hoặc các quá_trình vật_lý như nghiền , trộn , sàng , sấy , bọc , tạo hạt , viên hoặc khuấy trộn , lọc hoặc chỉ đóng góiphân_bón .",0.887
9158_1_1_1_5_0_59,Phương_tiện chạy cắt đường nhau,"ban_ngày phương_tiện này chỉ trông thấy một bên mạn của phương_tiện kia , ban_đêm chỉ trông thấy một đèn mạn ( xanh hoặc đỏ ) của phương_tiện kia .",0.858
27812_1_1_1_3_0_12,Bảo_lãnh đối_ứng,"bảo_lãnh ngân_hàng , theo đó tổ_chức tín_dụng , chi_nhánh ngân_hàng nước_ngoài ( bên bảo_lãnh đối_ứng ) cam_kết với bên bảo_lãnh về việc sẽ thực_hiện nghĩa_vụ tài_chính cho bên bảo_lãnh , trong trường_hợp bên bảo_lãnh thực_hiện bảo_lãnh và phải trả thay cho khách_hàng của bên bảo_lãnh đối_ứng .",0.883
22836_1_1_1_2_0_46,Tài_sản cá_nhân,"những mẫu_vật thuộc sở_hữu cá_nhân , được sử_dụng không vì mục_đích thương_mại .",0.889
